name,api_url,pkdx_id,weight,height,exp,ntypes,egg_group_1,egg_group_2,type_1,type_2,url_image_api,id,pokemon,hp,attack,defense,special_attack,special_defense,speed,total,average,url_icon_bp,url_detail_bp,url_image_bp,color_t1,color_t2,color_tp
metapod,api/v1/pokemon/11/,11,99,7,72,1,Bug,NA,bug,NA,http://pokeapi.co/media/img/11.png,011,Metapod,50,20,55,25,25,30,205,34.17,http://cdn.bulbagarden.net/upload/c/ce/011MS.png,http://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/c/cd/011Metapod.png/250px-011Metapod.png,#A8B820,#A8B820,#BBC751
butterfree,api/v1/pokemon/12/,12,320,11,173,2,Bug,NA,flying,bug,http://pokeapi.co/media/img/12.png,012,Butterfree,60,45,50,90,80,70,395,65.83,http://cdn.bulbagarden.net/upload/1/14/012MS.png,http://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/d/d1/012Butterfree.png/250px-012Butterfree.png,#A890F0,#A8B820,#A898C1
weedle,api/v1/pokemon/13/,13,32,3,39,2,Bug,NA,poison,bug,http://pokeapi.co/media/img/13.png,013,Weedle,40,35,30,20,20,50,195,32.5,http://cdn.bulbagarden.net/upload/6/65/013MS.png,http://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/d/df/013Weedle.png/250px-013Weedle.png,#A040A0,#A8B820,#A15A83
kakuna,api/v1/pokemon/14/,14,100,6,72,2,Bug,NA,poison,bug,http://pokeapi.co/media/img/14.png,014,Kakuna,45,25,50,25,25,35,205,34.17,http://cdn.bulbagarden.net/upload/8/81/014MS.png,http://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/250px-014Kakuna.png,#A040A0,#A8B820,#A15A83
beedrill,api/v1/pokemon/15/,15,295,10,173,2,Bug,NA,poison,bug,http://pokeapi.co/media/img/15.png,015,Beedrill,65,90,40,45,80,75,395,65.83,http://cdn.bulbagarden.net/upload/5/5a/015MS.png,http://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/250px-015Beedrill.png,#A040A0,#A8B820,#A15A83
pidgey,api/v1/pokemon/16/,16,18,3,50,2,Flying,NA,normal,flying,http://pokeapi.co/media/img/16.png,016,Pidgey,40,45,40,35,35,56,251,41.83,http://cdn.bulbagarden.net/upload/9/9c/016MS.png,http://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/250px-016Pidgey.png,#A8A878,#A890F0,#A8A292
pidgeotto,api/v1/pokemon/17/,17,300,11,122,2,Flying,NA,normal,flying,http://pokeapi.co/media/img/17.png,017,Pidgeotto,63,60,55,50,50,71,349,58.17,http://cdn.bulbagarden.net/upload/a/a9/017MS.png,http://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/250px-017Pidgeotto.png,#A8A878,#A890F0,#A8A292
pidgeot,api/v1/pokemon/18/,18,395,15,211,2,Flying,NA,normal,flying,http://pokeapi.co/media/img/18.png,018,Pidgeot,83,80,75,70,70,101,479,79.83,http://cdn.bulbagarden.net/upload/6/68/018MS.png,http://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/250px-018Pidgeot.png,#A8A878,#A890F0,#A8A292
rattata,api/v1/pokemon/19/,19,35,3,51,1,Ground,NA,normal,NA,http://pokeapi.co/media/img/19.png,019,Rattata,30,56,35,25,35,72,253,42.17,http://cdn.bulbagarden.net/upload/4/4d/019MS.png,http://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/250px-019Rattata.png,#A8A878,#A8A878,#BBBB96
raticate,api/v1/pokemon/20/,20,185,7,145,1,Ground,NA,normal,NA,http://pokeapi.co/media/img/20.png,020,Raticate,55,81,60,50,70,97,413,68.83,http://cdn.bulbagarden.net/upload/4/4d/020MS.png,http://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png,#A8A878,#A8A878,#BBBB96
spearow,api/v1/pokemon/21/,21,20,3,52,2,Flying,NA,normal,flying,http://pokeapi.co/media/img/21.png,021,Spearow,40,60,30,31,31,70,262,43.67,http://cdn.bulbagarden.net/upload/5/5b/021MS.png,http://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png,#A8A878,#A890F0,#A8A292
fearow,api/v1/pokemon/22/,22,380,12,155,2,Flying,NA,normal,flying,http://pokeapi.co/media/img/22.png,022,Fearow,65,90,65,61,61,100,442,73.67,http://cdn.bulbagarden.net/upload/3/35/022MS.png,http://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png,#A8A878,#A890F0,#A8A292
ekans,api/v1/pokemon/23/,23,69,20,58,1,Dragon,Ground,poison,NA,http://pokeapi.co/media/img/23.png,023,Ekans,35,60,44,40,54,55,288,48,http://cdn.bulbagarden.net/upload/0/0d/023MS.png,http://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png,#A040A0,#A040A0,#B56AB5
arbok,api/v1/pokemon/24/,24,650,35,153,1,Dragon,Ground,poison,NA,http://pokeapi.co/media/img/24.png,024,Arbok,60,85,69,65,79,80,438,73,http://cdn.bulbagarden.net/upload/d/d3/024MS.png,http://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png,#A040A0,#A040A0,#B56AB5
pikachu,api/v1/pokemon/25/,25,60,4,105,1,Fairy,Ground,electric,NA,http://pokeapi.co/media/img/25.png,025,Pikachu,35,55,40,50,50,90,320,53.33,http://cdn.bulbagarden.net/upload/0/0f/025MS.png,http://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png,#F8D030,#F8D030,#F9DA5E
raichu,api/v1/pokemon/26/,26,300,8,214,1,Fairy,Ground,electric,NA,http://pokeapi.co/media/img/26.png,026,Raichu,60,90,55,90,80,110,485,80.83,http://cdn.bulbagarden.net/upload/d/da/026MS.png,http://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png,#F8D030,#F8D030,#F9DA5E
sandshrew,api/v1/pokemon/27/,27,120,6,60,1,Ground,NA,ground,NA,http://pokeapi.co/media/img/27.png,027,Sandshrew,50,75,85,20,30,40,300,50,http://cdn.bulbagarden.net/upload/c/c3/027MS.png,http://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png,#E0C068,#E0C068,#E6CE89
sandslash,api/v1/pokemon/28/,28,295,10,158,1,Ground,NA,ground,NA,http://pokeapi.co/media/img/28.png,028,Sandslash,75,100,110,45,55,65,450,75,http://cdn.bulbagarden.net/upload/e/e0/028MS.png,http://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png,#E0C068,#E0C068,#E6CE89
nidoran-f,api/v1/pokemon/29/,29,70,4,55,1,Ground,Monster,poison,NA,http://pokeapi.co/media/img/29.png,029,Nidoranâ™€,55,47,52,40,40,41,275,45.83,http://cdn.bulbagarden.net/upload/a/ab/029MS.png,http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/8/81/029Nidoran.png/250px-029Nidoran.png,#A040A0,#A040A0,#B56AB5
nidorina,api/v1/pokemon/30/,30,200,8,128,1,Undiscovered,NA,poison,NA,http://pokeapi.co/media/img/30.png,030,Nidorina,70,62,67,55,55,56,365,60.83,http://cdn.bulbagarden.net/upload/d/d0/030MS.png,http://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png,#A040A0,#A040A0,#B56AB5
nidoqueen,api/v1/pokemon/31/,31,600,13,223,2,Undiscovered,NA,poison,ground,http://pokeapi.co/media/img/31.png,031,Nidoqueen,90,92,87,75,85,76,505,84.17,http://cdn.bulbagarden.net/upload/3/31/031MS.png,http://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png,#A040A0,#E0C068,#AE5C93
nidoran-m,api/v1/pokemon/32/,32,90,5,55,1,Ground,Monster,poison,NA,http://pokeapi.co/media/img/32.png,032,Nidoranâ™‚,46,57,40,40,40,50,273,45.5,http://cdn.bulbagarden.net/upload/f/fb/032MS.png,http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/4/4a/032Nidoran.png/250px-032Nidoran.png,#A040A0,#A040A0,#B56AB5
nidorino,api/v1/pokemon/33/,33,195,9,128,1,Ground,Monster,poison,NA,http://pokeapi.co/media/img/33.png,033,Nidorino,61,72,57,55,55,65,365,60.83,http://cdn.bulbagarden.net/upload/0/0e/033MS.png,http://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png,#A040A0,#A040A0,#B56AB5
nidoking,api/v1/pokemon/34/,34,620,14,223,2,Ground,Monster,poison,ground,http://pokeapi.co/media/img/34.png,034,Nidoking,81,102,77,85,75,85,505,84.17,http://cdn.bulbagarden.net/upload/1/18/034MS.png,http://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png,#A040A0,#E0C068,#AE5C93
clefairy,api/v1/pokemon/35/,35,75,6,113,1,Fairy,NA,fairy,NA,http://pokeapi.co/media/img/35.png,035,Clefairy,70,45,48,60,65,35,323,53.83,http://cdn.bulbagarden.net/upload/f/f9/035MS.png,http://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png,#EE99AC,#EE99AC,#F1AFBE
clefable,api/v1/pokemon/36/,36,400,13,213,1,Fairy,NA,fairy,NA,http://pokeapi.co/media/img/36.png,036,Clefable,95,70,73,95,90,60,483,80.5,http://cdn.bulbagarden.net/upload/7/75/036MS.png,http://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png,#EE99AC,#EE99AC,#F1AFBE
vulpix,api/v1/pokemon/37/,37,99,6,60,1,Ground,NA,fire,NA,http://pokeapi.co/media/img/37.png,037,Vulpix,38,41,40,50,65,65,299,49.83,http://cdn.bulbagarden.net/upload/8/85/037MS.png,http://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png,#F08030,#F08030,#F39C5E
ninetales,api/v1/pokemon/38/,38,199,11,177,1,Ground,NA,fire,NA,http://pokeapi.co/media/img/38.png,038,Ninetales,73,76,75,81,100,100,505,84.17,http://cdn.bulbagarden.net/upload/1/10/038MS.png,http://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png,#F08030,#F08030,#F39C5E
jigglypuff,api/v1/pokemon/39/,39,55,5,95,2,Fairy,NA,normal,fairy,http://pokeapi.co/media/img/39.png,039,Jigglypuff,115,45,20,45,25,20,270,45,http://cdn.bulbagarden.net/upload/9/9c/039MS.png,http://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png,#A8A878,#EE99AC,#B7A483
wigglytuff,api/v1/pokemon/40/,40,120,10,191,2,Fairy,NA,normal,fairy,http://pokeapi.co/media/img/40.png,040,Wigglytuff,140,70,45,85,50,45,435,72.5,http://cdn.bulbagarden.net/upload/f/f1/040MS.png,http://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/9/92/040Wigglytuff.png/250px-040Wigglytuff.png,#A8A878,#EE99AC,#B7A483
zubat,api/v1/pokemon/41/,41,75,8,49,2,Flying,NA,flying,poison,http://pokeapi.co/media/img/41.png,041,Zubat,40,45,35,30,40,55,245,40.83,http://cdn.bulbagarden.net/upload/9/96/041MS.png,http://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/d/da/041Zubat.png/250px-041Zubat.png,#A890F0,#A040A0,#A67EDE
golbat,api/v1/pokemon/42/,42,550,16,159,2,Flying,NA,flying,poison,http://pokeapi.co/media/img/42.png,042,Golbat,75,80,70,65,75,90,455,75.83,http://cdn.bulbagarden.net/upload/d/d0/042MS.png,http://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/0/0c/042Golbat.png/250px-042Golbat.png,#A890F0,#A040A0,#A67EDE
oddish,api/v1/pokemon/43/,43,54,5,64,2,Plant,NA,poison,grass,http://pokeapi.co/media/img/43.png,043,Oddish,45,50,55,75,65,30,320,53.33,http://cdn.bulbagarden.net/upload/a/a5/043MS.png,http://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/4/43/043Oddish.png/250px-043Oddish.png,#A040A0,#78C850,#975E8E
gloom,api/v1/pokemon/44/,44,86,8,138,2,Plant,NA,poison,grass,http://pokeapi.co/media/img/44.png,044,Gloom,60,65,70,85,75,40,395,65.83,http://cdn.bulbagarden.net/upload/d/d9/044MS.png,http://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/2/2a/044Gloom.png/250px-044Gloom.png,#A040A0,#78C850,#975E8E
vileplume,api/v1/pokemon/45/,45,186,12,216,2,Plant,NA,poison,grass,http://pokeapi.co/media/img/45.png,045,Vileplume,75,80,85,110,90,50,490,81.67,http://cdn.bulbagarden.net/upload/3/3e/045MS.png,http://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/6/6a/045Vileplume.png/250px-045Vileplume.png,#A040A0,#78C850,#975E8E
paras,api/v1/pokemon/46/,46,54,3,57,2,Plant,Bug,bug,grass,http://pokeapi.co/media/img/46.png,046,Paras,35,70,55,45,55,25,285,47.5,http://cdn.bulbagarden.net/upload/7/7a/046MS.png,http://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/d/d4/046Paras.png/250px-046Paras.png,#A8B820,#78C850,#9DBB2A
parasect,api/v1/pokemon/47/,47,295,10,142,2,Plant,Bug,bug,grass,http://pokeapi.co/media/img/47.png,047,Parasect,60,95,80,60,80,30,405,67.5,http://cdn.bulbagarden.net/upload/4/41/047MS.png,http://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/8/80/047Parasect.png/250px-047Parasect.png,#A8B820,#78C850,#9DBB2A
venonat,api/v1/pokemon/48/,48,300,10,61,2,Bug,NA,poison,bug,http://pokeapi.co/media/img/48.png,048,Venonat,60,55,50,40,55,45,305,50.83,http://cdn.bulbagarden.net/upload/1/1e/048MS.png,http://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/a/ad/048Venonat.png/250px-048Venonat.png,#A040A0,#A8B820,#A15A83
venomoth,api/v1/pokemon/49/,49,125,15,158,2,Bug,NA,poison,bug,http://pokeapi.co/media/img/49.png,049,Venomoth,70,65,60,90,75,90,450,75,http://cdn.bulbagarden.net/upload/3/31/049MS.png,http://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/d/d3/049Venomoth.png/250px-049Venomoth.png,#A040A0,#A8B820,#A15A83
diglett,api/v1/pokemon/50/,50,8,2,53,1,Ground,NA,ground,NA,http://pokeapi.co/media/img/50.png,050,Diglett,10,55,25,35,45,95,265,44.17,http://cdn.bulbagarden.net/upload/8/8b/050MS.png,http://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/3/31/050Diglett.png/250px-050Diglett.png,#E0C068,#E0C068,#E6CE89
dugtrio,api/v1/pokemon/51/,51,333,7,142,1,Ground,NA,ground,NA,http://pokeapi.co/media/img/51.png,051,Dugtrio,35,80,50,50,70,120,405,67.5,http://cdn.bulbagarden.net/upload/8/86/051MS.png,http://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/e/e5/051Dugtrio.png/250px-051Dugtrio.png,#E0C068,#E0C068,#E6CE89
meowth,api/v1/pokemon/52/,52,42,4,58,1,Ground,NA,normal,NA,http://pokeapi.co/media/img/52.png,052,Meowth,40,45,35,40,40,90,290,48.33,http://cdn.bulbagarden.net/upload/5/50/052MS.png,http://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/d/d6/052Meowth.png/250px-052Meowth.png,#A8A878,#A8A878,#BBBB96
persian,api/v1/pokemon/53/,53,320,10,154,1,Ground,NA,normal,NA,http://pokeapi.co/media/img/53.png,053,Persian,65,70,60,65,65,115,440,73.33,http://cdn.bulbagarden.net/upload/a/a7/053MS.png,http://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/1/13/053Persian.png/250px-053Persian.png,#A8A878,#A8A878,#BBBB96
psyduck,api/v1/pokemon/54/,54,196,8,64,1,Ground,Water1,water,NA,http://pokeapi.co/media/img/54.png,054,Psyduck,50,52,48,65,50,55,320,53.33,http://cdn.bulbagarden.net/upload/6/6b/054MS.png,http://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/5/53/054Psyduck.png/250px-054Psyduck.png,#6890F0,#6890F0,#89A8F3
golduck,api/v1/pokemon/55/,55,766,17,175,1,Ground,Water1,water,NA,http://pokeapi.co/media/img/55.png,055,Golduck,80,82,78,95,80,85,500,83.33,http://cdn.bulbagarden.net/upload/6/64/055MS.png,http://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/f/fe/055Golduck.png/250px-055Golduck.png,#6890F0,#6890F0,#89A8F3
mankey,api/v1/pokemon/56/,56,280,5,61,1,Ground,NA,fighting,NA,http://pokeapi.co/media/img/56.png,056,Mankey,40,80,35,35,45,70,305,50.83,http://cdn.bulbagarden.net/upload/a/ad/056MS.png,http://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/4/41/056Mankey.png/250px-056Mankey.png,#C03028,#C03028,#CE5E57
primeape,api/v1/pokemon/57/,57,320,10,159,1,Ground,NA,fighting,NA,http://pokeapi.co/media/img/57.png,057,Primeape,65,105,60,60,70,95,455,75.83,http://cdn.bulbagarden.net/upload/f/f1/057MS.png,http://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/9/9a/057Primeape.png/250px-057Primeape.png,#C03028,#C03028,#CE5E57
growlithe,api/v1/pokemon/58/,58,190,7,70,1,Ground,NA,fire,NA,http://pokeapi.co/media/img/58.png,058,Growlithe,55,70,45,70,50,60,350,58.33,http://cdn.bulbagarden.net/upload/6/69/058MS.png,http://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/3/3d/058Growlithe.png/250px-058Growlithe.png,#F08030,#F08030,#F39C5E
arcanine,api/v1/pokemon/59/,59,1550,19,194,1,Ground,NA,fire,NA,http://pokeapi.co/media/img/59.png,059,Arcanine,90,110,80,100,80,95,555,92.5,http://cdn.bulbagarden.net/upload/3/35/059MS.png,http://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/b/b8/059Arcanine.png/250px-059Arcanine.png,#F08030,#F08030,#F39C5E
poliwag,api/v1/pokemon/60/,60,124,6,60,1,Water1,NA,water,NA,http://pokeapi.co/media/img/60.png,060,Poliwag,40,50,40,40,40,90,300,50,http://cdn.bulbagarden.net/upload/1/17/060MS.png,http://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/4/49/060Poliwag.png/250px-060Poliwag.png,#6890F0,#6890F0,#89A8F3
poliwhirl,api/v1/pokemon/61/,61,200,10,135,1,Water1,NA,water,NA,http://pokeapi.co/media/img/61.png,061,Poliwhirl,65,65,65,50,50,90,385,64.17,http://cdn.bulbagarden.net/upload/3/36/061MS.png,http://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/a/a9/061Poliwhirl.png/250px-061Poliwhirl.png,#6890F0,#6890F0,#89A8F3
poliwrath,api/v1/pokemon/62/,62,540,13,225,2,Water1,NA,fighting,water,http://pokeapi.co/media/img/62.png,062,Poliwrath,90,95,95,70,90,70,510,85,http://cdn.bulbagarden.net/upload/5/5e/062MS.png,http://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/2/2d/062Poliwrath.png/250px-062Poliwrath.png,#C03028,#6890F0,#AC4554
